val_loss,val_acc,epoch,step,test_loss,test_acc
0.4302998483181,0.8827999830245972,0,214,,
0.2981284260749817,0.9103999733924866,1,429,,
0.24903441965579987,0.9232000112533569,2,644,,
0.2179083675146103,0.9323999881744385,3,859,,
0.19512584805488586,0.9376000165939331,4,1074,,
0.17772704362869263,0.9434000253677368,5,1289,,
0.16505181789398193,0.9467999935150146,6,1504,,
0.15265946090221405,0.9520000219345093,7,1719,,
0.14424242079257965,0.9539999961853027,8,1934,,
0.13615243136882782,0.9567999839782715,9,2149,,
,,9,2150,0.13991422951221466,0.9571999907493591
